Team 1,Team 2,Team 1 Win %,Team 2 Win %,Team 1 At Home,Team 1 Won
Atlanta Hawks,Los Angeles Clippers,0.2859078590785908,0.44261119081779055,1,0
Boston Celtics,Miami Heat,0.7768506632434745,0.4803921568627451,0,0
New York Knicks,Toronto Raptors,0.5181731229076997,0.6386896221903395,1,1
Denver Nuggets,Houston Rockets,0.5329719963866305,0.7420957542908763,0,0
Memphis Grizzlies,Dallas Mavericks,0.4493065518890483,0.2744972186563971,1,0
Minnesota Timberwolves,Orlando Magic,0.533423667570009,0.4141824751580849,1,1
New Orleans Pelicans,San Antonio Spurs,0.5085817524841915,0.6553748870822041,1,1
Golden State Warriors,Oklahoma City Thunder,0.7538392050587173,0.5047824007651841,0,0
Milwaukee Bucks,Phoenix Suns,0.5236728837876614,0.34317501069747536,0,1
Utah Jazz,Chicago Bulls,0.4880188275566966,0.2916666666666667,1,1
Los Angeles Lakers,Sacramento Kings,0.386392811296534,0.31526648599819335,0,0
Portland Trail Blazers,Brooklyn Nets,0.5526315789473685,0.3035230352303523,0,1
Atlanta Hawks,New York Knicks,0.31514762516046213,0.496386630532972,1,1
Orlando Magic,Boston Celtics,0.3985879332477535,0.7821138211382114,0,0
Cleveland Cavaliers,Charlotte Hornets,0.6283697047496791,0.4426377597109304,1,1
Toronto Raptors,Indiana Pacers,0.6147244805781392,0.5566966195977749,0,0
Minnesota Timberwolves,Miami Heat,0.5119811724433033,0.5,1,0
Oklahoma City Thunder,Detroit Pistons,0.487353206865402,0.5948509485094851,1,0
Memphis Grizzlies,Denver Nuggets,0.4340560072267389,0.5485665382969619,0,0
Phoenix Suns,New Orleans Pelicans,0.3308943089430894,0.5241762943945228,1,0
Golden State Warriors,Chicago Bulls,0.7635857937526743,0.2843137254901961,1,1
San Antonio Spurs,Charlotte Hornets,0.669020111253744,0.427043217800599,0,1
Philadelphia 76ers,Orlando Magic,0.5212285456187896,0.3845528455284553,1,1
Portland Trail Blazers,Washington Wizards,0.5666666666666667,0.5500641848523747,0,1
Atlanta Hawks,Toronto Raptors,0.30813008130081304,0.6283697047496791,1,0
Houston Rockets,New York Knicks,0.749893025246042,0.47689345314505777,1,1
Indiana Pacers,Boston Celtics,0.5373983739837399,0.7868757259001161,1,0
Dallas Mavericks,Oklahoma City Thunder,0.3008130081300813,0.47175866495507063,1,1
New Orleans Pelicans,Golden State Warriors,0.5048780487804878,0.7723577235772358,0,0
Milwaukee Bucks,Utah Jazz,0.5040650406504065,0.5073170731707317,0,0
Sacramento Kings,Los Angeles Clippers,0.3055198973042362,0.46657633242999097,1,0
Chicago Bulls,Miami Heat,0.27777777777777773,0.5175438596491228,1,0
Minnesota Timberwolves,Phoenix Suns,0.5260162601626016,0.3197831978319783,1,1
Brooklyn Nets,Memphis Grizzlies,0.32691484809584936,0.420410783055199,0,1
Orlando Magic,Indiana Pacers,0.37185443283004255,0.5516840882694541,0,0
Philadelphia 76ers,Cleveland Cavaliers,0.4997860504920839,0.640650406504065,1,0
Boston Celtics,Detroit Pistons,0.7609016999260901,0.6065468549422336,1,0
Portland Trail Blazers,New York Knicks,0.5793650793650794,0.4593495934959349,0,1
Brooklyn Nets,Houston Rockets,0.3146341463414634,0.7569105691056911,0,0
Dallas Mavericks,San Antonio Spurs,0.29287650019357336,0.6813008130081301,0,0
Sacramento Kings,Golden State Warriors,0.3300813008130081,0.748548199767712,0,1
Los Angeles Lakers,Los Angeles Clippers,0.3723577235772358,0.4880188275566966,0,0
Miami Heat,Cleveland Cavaliers,0.5,0.6517615176151761,0,0
Chicago Bulls,Phoenix Suns,0.2719298245614035,0.33998521803399856,1,0
Minnesota Timberwolves,Washington Wizards,0.5069686411149825,0.5658536585365854,1,0
Milwaukee Bucks,Sacramento Kings,0.5216089002995293,0.3205574912891986,0,1
Denver Nuggets,Utah Jazz,0.5292682926829269,0.5247773906310491,0,0
Detroit Pistons,Phoenix Suns,0.6170731707317073,0.3294450335807706,1,1
Orlando Magic,Oklahoma City Thunder,0.39061345158906136,0.45772357723577234,1,1
Washington Wizards,Philadelphia 76ers,0.5483933410762679,0.5138211382113821,0,0
New York Knicks,Miami Heat,0.4752226093689509,0.48412698412698413,1,1
Toronto Raptors,Charlotte Hornets,0.640650406504065,0.41300813008130083,1,1
Indiana Pacers,Houston Rockets,0.5343680709534367,0.7632597754548974,0,0
New Orleans Pelicans,Minnesota Timberwolves,0.48741773132017036,0.5199556541019956,1,0
Dallas Mavericks,Brooklyn Nets,0.28566149297856613,0.33526906697638403,1,0
Memphis Grizzlies,San Antonio Spurs,0.408130081300813,0.6924119241192411,0,0
Los Angeles Lakers,Golden State Warriors,0.3596593108788231,0.7572062084257206,1,0
Atlanta Hawks,Cleveland Cavaliers,0.30178087495160666,0.6618625277161861,1,0
Boston Celtics,Philadelphia 76ers,0.7661717921527041,0.49477351916376305,1,1
Chicago Bulls,Denver Nuggets,0.26666666666666666,0.5435540069686411,0,0
Milwaukee Bucks,Portland Trail Blazers,0.5373983739837399,0.5606060606060607,0,1
Los Angeles Clippers,Utah Jazz,0.47398373983739833,0.540650406504065,1,0
Golden State Warriors,Orlando Magic,0.7651113467656415,0.37875574407917995,0,1
Washington Wizards,Detroit Pistons,0.5628233555062824,0.5948509485094851,1,1
Toronto Raptors,Indiana Pacers,0.6517615176151761,0.5185577942735949,1,1
Chicago Bulls,Sacramento Kings,0.2619047619047619,0.34220251293422027,1,0
Memphis Grizzlies,San Antonio Spurs,0.39701897018970184,0.7025129342202513,1,0
Charlotte Hornets,Miami Heat,0.40030971738288806,0.5,0,0
Oklahoma City Thunder,Minnesota Timberwolves,0.4767711962833914,0.5028278543655001,1,1
Utah Jazz,New Orleans Pelicans,0.5551431601272534,0.47154471544715443,1,1
Phoenix Suns,Boston Celtics,0.3197831978319783,0.7710027100271003,0,0
Dallas Mavericks,Los Angeles Clippers,0.3080593849416755,0.4612853271389857,1,1
Brooklyn Nets,Atlanta Hawks,0.3237250554323725,0.32631189948263123,1,0
Cleveland Cavaliers,Memphis Grizzlies,0.6710851891127607,0.3869179600886918,1,1
Philadelphia 76ers,Detroit Pistons,0.5077605321507761,0.5746489283074648,1,1
Sacramento Kings,Milwaukee Bucks,0.3329798515376458,0.5516840882694541,0,0
Denver Nuggets,Los Angeles Lakers,0.5565410199556541,0.34811529933481156,1,1
Portland Trail Blazers,New Orleans Pelicans,0.5434782608695652,0.48603746907034284,1,0
Orlando Magic,New York Knicks,0.3956639566395664,0.4593495934959349,0,1
Golden State Warriors,Miami Heat,0.7723577235772358,0.4855072463768116,0,1
