Home Win %,Visitor Win %,Home Won
0.321,0.485,0
0.444,0.431,1
0.611,0.627,0
0.668,0.404,0
0.449,0.567,1
0.542,0.439,1
0.487,0.224,1
0.389,0.41,0
0.757,0.475,1
0.348,0.245,1
0.466,0.48,1
0.615,0.468,1
0.69,0.415,1
0.319,0.671,0
0.616,0.444,1
0.436,0.564,1
0.632,0.56,1
0.615,0.47,1
0.397,0.433,1
0.439,0.621,0
0.426,0.417,0
0.535,0.636,0
0.76,0.582,1
0.345,0.42,0
0.608,0.674,0
0.641,0.46,1
0.243,0.539,0
0.693,0.475,1
0.328,0.435,1
0.442,0.61,1
0.438,0.476,0
0.619,0.481,1
0.569,0.222,1
0.564,0.752,1
0.423,0.462,1
0.393,0.252,0
0.432,0.624,1
0.354,0.22,1
0.543,0.471,1
0.415,0.569,0
0.676,0.634,1
0.755,0.475,1
0.439,0.603,1
0.468,0.47,1
0.611,0.427,1
0.418,0.336,0
0.696,0.615,1
0.389,0.466,0
0.25,0.448,0
0.43,0.574,0
0.433,0.622,0
0.628,0.575,1
0.536,0.573,0
0.397,0.218,1
0.463,0.42,0
0.363,0.426,1
0.433,0.433,1
0.466,0.615,0
0.466,0.472,0
0.344,0.627,1
0.62,0.48,0
0.747,0.608,0
0.679,0.442,1
0.58,0.428,1
0.688,0.424,0
0.626,0.568,1
0.259,0.609,1
0.457,0.75,0
0.36,0.578,0
0.478,0.608,1
0.425,0.603,1
0.46,0.227,0
0.342,0.682,0
0.612,0.393,1
0.433,0.428,1
0.448,0.475,1
0.429,0.54,0
0.573,0.423,1
0.268,0.419,1
0.691,0.62,1
0.629,0.613,1
0.452,0.617,0
0.401,0.443,1
0.42,0.472,0
0.467,0.742,1
0.613,0.582,0
0.429,0.349,0
0.429,0.601,1
0.608,0.473,1
0.585,0.567,1
0.469,0.684,0
0.434,0.424,1
0.605,0.438,1
0.425,0.735,1
0.266,0.369,0
0.621,0.462,1
0.606,0.544,0
0.622,0.59,0
0.397,0.357,0
0.415,0.458,0
0.618,0.468,1
0.694,0.575,1
0.225,0.43,0
0.463,0.572,0
0.428,0.687,0
0.366,0.478,0
0.598,0.43,0
0.468,0.41,1
0.424,0.435,0
0.537,0.738,0
0.613,0.6,1
0.614,0.436,0
0.233,0.423,1
0.594,0.679,1
0.453,0.579,0
0.611,0.626,0
0.354,0.404,0
0.577,0.264,1
0.374,0.426,1
0.484,0.686,1
0.474,0.433,1
0.604,0.431,1
0.415,0.42,1
0.474,0.4,1
0.617,0.607,1
0.241,0.671,1
0.588,0.441,0
0.469,0.261,1
0.418,0.581,0
0.602,0.351,1
0.541,0.421,1
0.437,0.573,1
0.439,0.597,1
0.679,0.63,0
0.731,0.615,0
0.448,0.479,0
0.489,0.434,1
0.48,0.415,1
0.397,0.622,0
0.42,0.371,1
0.359,0.534,1
0.437,0.593,0
0.249,0.259,1
0.463,0.619,0
0.413,0.611,0
0.673,0.595,1
0.567,0.601,0
0.454,0.476,1
0.426,0.411,1
0.356,0.494,0
0.634,0.528,1
0.443,0.587,1
0.485,0.369,1
0.432,0.682,0
0.734,0.604,1
0.585,0.595,1
0.257,0.469,0
0.394,0.424,0
0.439,0.472,1
0.409,0.623,0
0.676,0.449,1
0.571,0.247,1
0.499,0.353,1
0.48,0.685,0
0.532,0.589,1
0.4,0.428,1
0.449,0.422,1
0.407,0.638,0
0.444,0.255,1
0.626,0.668,1
0.727,0.254,0
0.376,0.678,1
0.478,0.463,1
0.429,0.494,1
0.641,0.445,1
0.581,0.599,0
0.59,0.617,1
0.592,0.253,1
0.535,0.374,1
0.35,0.414,0
0.403,0.63,0
0.424,0.671,0
0.607,0.44,1
0.584,0.575,0
0.603,0.424,1
0.484,0.417,1
0.407,0.445,1
0.485,0.489,1
0.635,0.73,0
0.252,0.585,0
0.596,0.597,1
0.423,0.372,1
0.621,0.458,1
0.681,0.41,1
0.59,0.435,1
0.61,0.399,1
0.494,0.405,1
0.539,0.454,1
0.479,0.45,0
0.639,0.25,1
0.48,0.673,0
0.42,0.578,0
0.634,0.252,1
0.588,0.348,1
0.625,0.403,1
0.416,0.257,0
0.485,0.441,1
0.405,0.369,1
0.591,0.733,0
0.638,0.572,1
0.614,0.59,1
0.594,0.419,1
0.259,0.401,1
0.486,0.446,1
0.666,0.542,0
0.498,0.674,1
0.428,0.4,1
0.459,0.345,1
0.643,0.431,1
0.592,0.415,1
0.376,0.493,1
0.481,0.598,0
0.619,0.617,0
0.677,0.257,1
0.585,0.49,0
0.642,0.726,1
0.401,0.421,0
0.255,0.352,0
0.576,0.584,1
0.442,0.546,0
0.397,0.646,0
0.668,0.397,1
0.426,0.73,0
0.454,0.419,0
0.596,0.578,1
0.383,0.661,1
0.433,0.417,1
0.549,0.614,1
0.256,0.602,0
0.358,0.477,1
0.447,0.64,1
0.637,0.495,0
0.58,0.68,0
0.58,0.397,1
0.447,0.422,1
0.473,0.62,0
0.403,0.596,1
0.253,0.498,0
0.459,0.393,1
0.732,0.573,1
0.438,0.443,1
0.381,0.6,0
0.254,0.623,0
0.673,0.584,0
0.644,0.632,1
0.664,0.491,1
0.393,0.424,0
0.452,0.608,1
0.469,0.495,0
0.409,0.543,1
0.356,0.6,0
0.44,0.427,0
0.726,0.399,0
0.583,0.493,1
0.463,0.251,1
0.252,0.604,0
0.666,0.378,1
0.576,0.616,1
0.667,0.457,0
0.414,0.647,0
0.603,0.635,0
0.729,0.488,1
0.398,0.459,1
0.442,0.537,1
0.445,0.578,1
0.604,0.249,1
0.587,0.419,1
0.462,0.63,1
0.376,0.607,0
0.491,0.447,0
0.67,0.353,1
0.669,0.641,1
0.423,0.607,0
0.41,0.415,0
0.395,0.463,0
0.619,0.484,1
0.403,0.466,1
0.351,0.59,0
0.441,0.732,0
0.582,0.571,1
0.247,0.471,0
0.607,0.399,1
0.488,0.442,1
0.54,0.415,1
0.496,0.392,1
0.25,0.672,0
0.645,0.613,1
0.671,0.602,1
0.415,0.459,1
0.634,0.374,1
0.61,0.565,1
0.412,0.593,0
0.428,0.726,1
0.577,0.616,0
0.611,0.468,1
0.404,0.457,1
0.606,0.372,1
0.419,0.605,1
0.648,0.455,1
0.493,0.588,1
0.56,0.447,0
0.249,0.5,0
0.348,0.675,0
0.424,0.544,0
0.245,0.447,0
0.417,0.664,1
0.572,0.397,0
0.412,0.409,0
0.629,0.459,0
0.61,0.473,0
0.728,0.453,1
0.609,0.443,1
0.564,0.488,1
0.609,0.496,1
0.415,0.666,0
0.256,0.346,1
0.677,0.443,1
0.42,0.591,0
0.403,0.538,1
0.614,0.449,1
0.251,0.37,1
0.576,0.405,1
0.633,0.414,1
0.455,0.651,0
0.731,0.604,1
0.484,0.567,0
0.447,0.254,1
0.469,0.352,0
0.42,0.533,1
0.41,0.68,0
0.491,0.612,0
0.408,0.454,0
0.399,0.425,0
0.607,0.628,1
0.249,0.618,0
0.594,0.44,1
0.604,0.654,0
0.527,0.669,0
0.459,0.368,1
0.401,0.734,0
0.459,0.674,1
0.451,0.416,1
0.466,0.631,0
0.657,0.253,1
0.562,0.615,0
0.43,0.487,1
0.579,0.48,1
0.396,0.445,0
0.621,0.455,1
0.256,0.405,1
0.61,0.589,1
0.736,0.366,1
0.599,0.406,0
0.662,0.415,0
0.35,0.53,0
0.676,0.483,1
0.364,0.635,0
0.426,0.583,0
0.475,0.463,0
0.558,0.419,0
0.441,0.401,0
0.66,0.254,1
0.665,0.413,1
0.611,0.455,0
0.259,0.463,1
0.739,0.594,1
0.592,0.604,1
0.451,0.41,0
0.41,0.616,1
0.362,0.467,0
0.48,0.438,1
0.459,0.614,0
0.488,0.525,1
0.348,0.266,0
0.422,0.679,0
0.407,0.741,0
0.406,0.252,1
