Home,Home Points,Visitor,Visitor Points
Cleveland Cavaliers,91,Utah Jazz,117
Boston Celtics,114,Dallas Mavericks,93
Chicago Bulls,116,Indiana Pacers,119
Memphis Grizzlies,100,Brooklyn Nets,109
Miami Heat,115,Washington Wizards,109
Minnesota Timberwolves,120,Orlando Magic,103
Milwaukee Bucks,144,Atlanta Hawks,112
Phoenix Suns,111,Los Angeles Clippers,121
Los Angeles Lakers,112,New York Knicks,119
Portland Trail Blazers,109,Oklahoma City Thunder,111
Denver Nuggets,123,Charlotte Hornets,110
Detroit Pistons,105,Utah Jazz,110
Philadelphia 76ers,106,Dallas Mavericks,100
Cleveland Cavaliers,98,New Orleans Pelicans,133
Milwaukee Bucks,116,Toronto Raptors,123
San Antonio Spurs,108,Memphis Grizzlies,88
Portland Trail Blazers,110,Houston Rockets,101
Sacramento Kings,123,Golden State Warriors,127
Chicago Bulls,100,Brooklyn Nets,117
Los Angeles Clippers,106,Orlando Magic,96
Minnesota Timberwolves,108,Los Angeles Lakers,86
Atlanta Hawks,106,Miami Heat,82
Oklahoma City Thunder,98,Washington Wizards,116
Toronto Raptors,121,Indiana Pacers,105
Phoenix Suns,113,Charlotte Hornets,119
Detroit Pistons,107,San Antonio Spurs,119
Boston Celtics,116,Brooklyn Nets,95
Houston Rockets,125,Denver Nuggets,113
Milwaukee Bucks,114,Utah Jazz,102
New Orleans Pelicans,114,Memphis Grizzlies,95
Dallas Mavericks,97,Los Angeles Lakers,107
